"","PID","YEAR","PROJECT_LENGTH","PROJECT_PAGE_LOCATION_STATE","CATEGORY","GOAL_IN_USD","PLEDGED_IN_USD","BACKERS_COUNT","SITE_PREDICTION","OUTCOME"
"343",487158460,2023,30,"CA","Film & Video",350000,176,2,53,"failed    "
"345",2039006121,2020,30,"CA","Film & Video",350000,0,0,36,"failed    "
"347",1622916065,2020,50,"NY","Film & Video",350000,0,0,49,"failed    "
"348",1610661361,2022,21,"CA","Games",350000,415,8,38,"canceled  "
"350",802370128,2020,30,"NY","Film & Video",350000,100,1,66,"failed    "
"351",264849984,2021,30,"TX","Film & Video",350000,0,0,38,"failed    "
"352",1807637299,2021,60,"CA","Film & Video",350000,10,1,49,"failed    "
"353",1469718794,2020,60,"TX","Games",350000,0,0,49,"canceled  "
"354",2082055393,2023,60,"CA","Film & Video",350000,1,1,57,"failed    "
"355",927261361,2020,15,"NY","Film & Video",350000,1,1,59,"failed    "
"358",410051427,2023,60,"CA","Film & Video",350000,201,2,43,"failed    "
"359",1603714381,2021,60,"CA","Film & Video",259483,0,0,44,"failed    "
"360",2126424749,2020,30,"CA","Film & Video",350000,0,0,44,"canceled  "
"361",1721352733,2025,60,"NY","Games",350000,1,1,73,"canceled  "
"362",951752545,2020,60,"CA","Film & Video",350000,94,5,37,"failed    "
"365",492560882,2021,30,"CA","Games",350000,2,2,49,"failed    "
"366",1997214837,2022,30,"CA","Film & Video",414509,18,2,61,"failed    "
"369",984219171,2025,40,"NY","Film & Video",339000,991,16,56,"canceled  "
"370",2067602819,2020,60,"TX","Games",337000,21,2,54,"canceled  "
"371",286704392,2020,40,"CA","Film & Video",325000,510,5,43,"failed    "
"373",250880154,2021,30,"TX","Games",325000,0,0,36,"canceled  "
"374",412924412,2020,27,"CA","Film & Video",321750,1,1,37,"failed    "
"376",173398714,2020,60,"CA","Film & Video",320000,0,0,48,"failed    "
"378",1329755247,2022,33,"CA","Games",300115,46,6,61,"failed    "
"379",260540198,2021,59,"CA","Film & Video",3e+05,70,2,54,"failed    "
"380",1264041665,2020,21,"CA","Film & Video",3e+05,0,0,42,"failed    "
"383",404296684,2023,30,"CA","Games",3e+05,1,1,34,"failed    "
"384",1555685416,2022,30,"NY","Games",3e+05,150,1,42,"failed    "
"385",616158142,2020,31,"CA","Art",3e+05,120,1,43,"canceled  "
"386",664313877,2020,52,"PA","Comics",3e+05,66,3,60,"failed    "
"387",282499652,2025,60,"CA","Film & Video",3e+05,1,1,53,"failed    "
"388",1000953875,2020,60,"CA","Games",3e+05,1,1,51,"failed    "
"389",1765676645,2020,30,"CA","Film & Video",3e+05,26,2,55,"failed    "
"390",1692901875,2020,30,"CA","Film & Video",3e+05,400,3,48,"failed    "
"391",2015737901,2021,30,"CA","Film & Video",3e+05,27,1,40,"failed    "
"393",1402316845,2023,30,"NY","Art",2712,214,5,53,"failed    "
"394",1857164198,2025,15,"TX","Film & Video",3e+05,11,2,32,"failed    "
"395",1296535195,2022,28,"CA","Film & Video",16135,0,0,22,"failed    "
"396",1990666552,2020,60,"CA","Film & Video",3e+05,0,0,50,"failed    "
"397",1799489149,2024,60,"CA","Film & Video",3e+05,26,2,42,"canceled  "
"400",688189671,2020,30,"CA","Film & Video",3e+05,0,0,46,"failed    "
"401",1038887181,2020,30,"PA","Games",3e+05,0,0,60,"canceled  "
"402",179909942,2020,30,"CA","Film & Video",3e+05,3,3,52,"failed    "
"403",347584827,2020,30,"TX","Games",3e+05,25,1,50,"suspended "
"404",1336580494,2020,60,"CA","Film & Video",3e+05,951,8,62,"failed    "
"405",66892522,2023,30,"CA","Film & Video",3e+05,1,1,68,"failed    "
"406",1577312893,2025,30,"NY","Film & Video",3e+05,21,3,22,"failed    "
"408",1046496093,2021,30,"NY","Film & Video",228634,0,0,81,"failed    "
"410",565816670,2020,30,"CA","Film & Video",3e+05,0,0,22,"failed    "
"411",2131479912,2020,30,"NY","Dance",3e+05,20,1,58,"failed    "
"412",472279239,2023,30,"CA","Film & Video",3e+05,0,0,46,"canceled  "
"413",1338208860,2025,31,"CA","Games",3e+05,1,1,29,"canceled  "
"414",1904195304,2021,40,"CA","Film & Video",3e+05,628,10,32,"failed    "
"415",1293482759,2020,45,"TX","Games",3e+05,0,0,40,"failed    "
"417",645435924,2022,30,"PA","Film & Video",3e+05,0,0,43,"failed    "
"418",1950198011,2025,60,"CA","Film & Video",330350,111,3,53,"failed    "
"419",398094396,2021,33,"NY","Art",3e+05,20,1,30,"failed    "
"420",1461367528,2020,30,"NY","Games",3e+05,61,3,55,"failed    "
"421",678229917,2024,30,"TX","Games",3e+05,142,5,40,"failed    "
"422",108989351,2024,29,"NY","Film & Video",3e+05,501,4,48,"failed    "
"423",1674608170,2022,42,"TX","Film & Video",3e+05,10,1,74,"failed    "
"427",1142687208,2021,30,"CT","Film & Video",295000,10,1,66,"failed    "
"428",976257920,2020,60,"CA","Film & Video",294321,391,8,52,"canceled  "
"430",15858882,2025,30,"CA","Film & Video",285800,769,14,45,"failed    "
"431",599813105,2021,30,"NY","Film & Video",280000,100,1,61,"failed    "
"433",1323897237,2020,40,"CA","Film & Video",41901,397,11,55,"canceled  "
